Time,M,N,ND
0,2,0,0
20,1.8,4,1
40,2.6,3.4,1.8
60,2.6,5,3.4
80,3.2,5.2,2.8
100,3.2,4.8,4.4
120,3.4,4.4,3
140,3.8,4,2
160,3.8,3.4,0.8
180,4,5.4,2.2
200,4.2,2.2,1.6
220,4.4,3.8,1
240,4.4,4.2,1.6
260,4.4,4,1.4
280,4.4,4.2,0.6
300,4.8,7.6,1.6
320,5.2,5.2,1.8
340,5.6,5.6,1.8
360,5.8,4.8,1.2
380,5.8,5.8,2.2
400,6.6,4.8,3
420,6.4,4.6,1.4
440,6.8,3.6,0.8
460,6.8,4.2,0.6
480,6.8,4.8,0.8
500,6.8,5.2,0.8
520,7,4.6,1
540,7,4.4,0.8
560,6.8,4.2,1.4
580,7,4,0.6
600,7,5.2,1
620,7.2,7,0.8
640,7.2,6.2,1
660,7.2,5,1
680,6.8,4.8,0.6
700,6.8,4,1.4
720,6.8,4.2,1.4
740,7,6,1.2
760,6.8,4,0.4
780,6.6,2.2,1
800,6.6,1.6,0.8
820,6.6,6.4,0.4
840,6.8,5.4,2
860,6.8,5.6,1
880,6.6,4.2,0.8
900,6.8,3.6,0.6
920,6.6,4.4,1.2
940,6.6,4.2,1.4
960,6.8,5.4,2
980,6.6,4.4,0.8
1000,6.6,4,1.6
1020,6.8,4.8,0.4
1040,7.6,2.8,1
1060,7.6,3.6,1.2
1080,7.8,5.8,1.2
1100,8.4,3.6,1.2
1120,8.4,4.2,1.2
1140,8.6,5.8,1.2
1160,8.6,5.2,0.6
1180,8.6,3.8,0.6
1200,8.6,4.2,0.6
1220,9.2,8.4,1.6
1240,9.2,4.6,1
1260,9.8,3.6,0.2
1280,10,6.2,1.2
1300,10.4,4.2,0.8
1320,10.6,3.6,0.
