Time,B,N
0,10,0
20,11.4,2.8
40,11.4,3.8
60,10.8,5.2
80,10,7
100,10.2,7.8
120,10.6,6.8
140,10.2,6.8
160,10,8
180,7.8,9.8
200,8.6,9.2
220,8,9.8
240,6.8,9.4
260,6.4,8.8
280,6.4,9.2
300,6.6,8.4
320,7,8
340,6.8,8.6
360,6.8,9.8
380,7.4,10.6
400,8.4,10.2
420,7,10.4
440,7.6,9.6
460,6.4,9.6
480,6,8.8
500,5.8,8.8
520,5.6,8.4
540,5.2,9.2
560,4.2,9.6
580,3.6,9.4
600,3.6,9.2
620,3,10
640,2.8,10.2
660,2.2,10.2
680,1.4,11
700,1.2,11.2
720,1.2,12
740,0.4,11.4
760,0.8,11.4
780,0.4,11.4
800,0.6,11.6
820,0.4,11.6
840,0.4,12
860,0.4,12.4
880,0.2,12.4
900,0,12.4
920,0,12.4
940,0,12.4
960,0,12.4
980,0,12.4
1000,0,12.4
1020,0,12.4
1040,0,12.4
1060,0,12.4
1080,0,12.4
1100,0,12.4
1120,0,12.4
1140,0,12.4
1160,0,12.4
1180,0,12.4
1200,0,12.4
1220,0,12.4
1240,0,12.4
1260,0,12.4
1280,0,12.4
1300,0,12.4
1320,0,12.4
1340,0,12.4
1360,0,12.4
1380,0,12.4
1400,0,12.4
1420,0,12.4
1440,0,12.4
1460,0,12.4
1480,0,12.4
1500,0,12.4
1520,0,12.4
1540,0,12.4
1560,0,12.4
1580,0,12.4
1600,0,12.4
1620,0,12.4
1640,0,12.4
1660,0,12.4
1680,0,12.4
1700,0,12.4
1720,0,12.4
1740,0,12.4
1760,0,12.4
1780,0,12.4
1800,0,12.4
1820,0,12.4
1840,0,12.4
1860,0,12.4
1880,0,12.4
1900,0,12.4
1920,0,12.4
1940,0,12.4
1960,0,12.4
1980,0,12.4
2000,0,12.4
