Time,AC,B,D,M,N,ND
0,0,10,0,2,0,0
20,0,9.4,1.2,2,0.4,0.6
40,0.8,6.8,1.4,2,1.8,1
60,0.4,3.2,1.6,1.8,2,1.4
80,0.8,2.8,1.6,1.8,2.2,0.6
100,0.6,1.8,1.8,1.8,1.4,0.4
120,0,1.6,2.2,1.8,1.6,0.4
140,0.6,2.2,2.6,1.4,1.2,0
160,0,2.2,2.6,1.2,0.8,0.2
180,0.2,2.6,3,1.2,1.6,1.4
200,0.4,1,3.2,1.4,2,2.2
220,1.4,0.2,3.6,1.4,3.4,1.6
240,1.4,0,3.4,1.4,2.6,1.6
260,0.4,0,3.6,1.4,1.4,1.4
280,0,0,4.2,1.4,1.2,0.8
300,0.2,0,3.6,1.4,0.8,1
320,0,0,3.2,1.4,0.4,1.2
340,0.2,0,3.4,1.2,0.4,0.6
360,0,0,3.4,1.2,0,1
380,0,0,3.4,1.2,0,0.8
400,0,0,3,1.2,0,0.6
420,0,0,3,1.2,0,0.6
440,0,0,3,1.2,0,0.6
460,0,0,2.6,1.2,0,0.6
480,0,0,2.6,1.2,0,0.6
500,0,0,2.8,1.2,0,0.6
520,0,0,2.6,1.2,0,0.6
540,0,0,2.4,1.2,0,0.6
560,0,0,2.6,1.2,0,0.6
580,0,0,3.2,1.2,0,0.6
600,0,0,3.6,1.2,0,0.6
620,0,0,3.8,1.2,0,0.6
640,0,0,4.2,1.2,0,0.6
660,0,0,4.2,1.2,0,0.6
680,0,0,4.4,1.2,0,0.6
700,0,0,4.2,1.2,0,0.6
720,0,0,4.4,1.2,0,0.6
740,0,0,4.6,1.2,0,0.6
760,0,0,4.8,1.2,0,0.6
780,0,0,4.8,1.2,0,0.6
800,0,0,4.8,1.2,0,0.6
820,0,0,4.8,1,0,0.6
840,0,0,4.8,1,0,0.6
860,0,0,4.8,1,0,0.6
880,0,0,5,1,0,0.6
900,0,0,5,1,0,0.6
920,0,0,5,1,0,0.6
940,0,0,5,1,0,0.6
960,0,0,5,1,0,0.6
980,0,0,5,1,0,0.6
1000,0,0,5.4,0.8,0,0.6
1020,0,0,5.4,0.8,0,0.6
1040,0,0,5.4,0.8,0,0.6
1060,0,0,5.4,0.8,0,0.6
1080,0,0,5.4,0.8,0,0.6
1100,0,0,5.6,0.8,0,0.6
1120,0,0,5.6,0.8,0,0.6
1140,0,0,5.6,0.8,0,0.6
1160,0,0,5.6,0.8,0,0.6
1180,0,0,5.8,0.6,0,0.6
1200,0,0,5.8,0.6,0,0.6
1220,0,0,6.4,0.6,0,0.6
1240,0,0,6.6,0.6,0,0.6
1260,0,0,6.8,0.6,0,0.6
1280,0,0,6.8,0.6,0,0.6
1300,0,0,6.8,0.6,0,0.6
1320,0,0,7,0.6,0,0.6
1340,0,0,7,0.6,0,0.6
1360,0,0,7,0.6,0,0.6
1380,0,0,7.2,0.6,0,0.6
1400,0,0,7.2,0.6,0,0.6
1420,0,0,7.2,0.6,0,0.6
1440,0,0,7.2,0.6,0,0.6
1460,0,0,7.2,0.6,0,0.6
1480,0,0,7.2,0.6,0,0.6
1500,0,0,7.2,0.6,0,0.6
1520,0,0,7.2,0.6,0,0.6
1540,0,0,7.4,0.6,0,0.6
1560,0,0,8,0.6,0,0.6
1580,0,0,8,0.6,0,0.6
1600,0,0,8,0.6,0,0.6
1620,0,0,8,0.4,0,0.6
1640,0,0,8.6,0.4,0,0.6
1660,0,0,8.6,0.4,0,0.6
1680,0,0,8.6,0.4,0,0.6
1700,0,0,8.6,0.4,0,0.6
1720,0,0,9,0.4,0,0.6
1740,0,0,9.4,0.4,0,0.6
1760,0,0,9.4,0.4,0,0.6
1780,0,0,9.4,0.4,0,0.6
1800,0,0,9.4
