Time,B,M,N,ND
0,10,2,0,0
20,11.6,2,0,0
40,9.8,2,0.2,0.2
60,8.8,2,0.6,0.2
80,6.8,1.8,2.2,0.8
100,5.4,2,4.8,1
120,4.6,2,5.2,0.8
140,3.4,1.8,8.8,2.6
160,3.2,1.8,8.8,3
180,2.6,1.8,7,2.2
200,1.2,1.8,6.6,4
220,1.4,1.8,3.4,4
240,1.6,1.8,2.8,2.8
260,2,1.8,1.4,1.8
280,3.4,1.6,0.8,0.4
300,4.8,1.6,0.4,0.4
320,6,1.6,0.4,0.2
340,6.2,1.6,0.4,0.4
360,6.4,1.6,0.4,0.2
380,6.4,1.6,0.2,1
400,6.4,1.6,0.2,0.6
420,7.2,1.6,0.8,0.8
440,7.4,1.6,0.2,0.4
460,8,1.6,0,0.6
480,9.4,1.4,0.2,0.6
500,9.8,1.4,0.4,1.2
520,10.2,1.6,0.2,1.4
540,10.8,1.6,0,2
560,11.6,1.6,0.4,1
580,11.4,1.6,1,1.4
600,12.2,1.6,0,0.6
620,13.2,1.6,0,1
640,13,1.6,0,0.6
660,13.4,1.6,0,0.6
680,14.4,1.6,0,0.2
700,14.6,1.6,0.4,0.2
720,14.8,1.6,0.6,0.6
740,14.8,1.6,0,0.8
760,15,1.8,0.4,1.2
780,14.8,1.8,0,0.6
800,15.6,1.6,0,0.2
820,16.6,1.8,0.2,0.8
840,16.8,1.8,0,0.4
860,17,1.6,0.2,0.4
880,17.4,1.6,0.6,0
900,18,1.6,0.4,0.6
920,18.2,1.6,0.4,0.8
940,19.2,1.6,0,0.6
960,19.2,1.6,0,0.4
980,18.8,1.6,0.4,0.2
1000,19.2,1.4,0.2,1.2
1020,19.4,1.4,0.4,0.6
1040,19.8,1.4,0.6,1
1060,20.6,1.4,0,0.8
1080,20.8,1.4,0,1
1100,20.8,1.6,0.4,1.6
1120,21.2,1.6,0,0.6
1140,21.6,1.4,0,1.4
1160,21.2,1.4,0.6,1
1180,21,1.4,0,1.6
1200,21.2,1.6,0.6,0.6
1220,20.4,1.6,1,1.8
1240,20.6,1.6,0,0.8
1260,19.8,1.8,1.4,0.6
1280,21,1.8,0.6,0.8
1300,20.2,2,0.4,1.2
1320,20.4,2,1.2,0.8
1340,20.6,2,0.6,0.8
1360,21,2,0.2,0.8
1380,20.4,2,0.8,1
1400,21,2,0,0
1420,21,1.8,0,0
1440,21.6,1.8,1,0.4
1460,21.4,1.8,0,0
1480,22.4,1.8,0,0.6
1500,22.8,1.8,0,0.2
1520,23.4,1.8,0,0.2
1540,24.6,1.8,0,0
1560,25.8,1.8,0.2,0.6
1580,26,1.8,0.4,0.4
1600,25.6,1.8,0.2,0.6
1620,26.4,1.8,0.2,1.2
1640,27.6,1.8,0.2,0.6
1660,27.8,1.8,0,0
1680,27.4,1.8,0.6,0.4
1700,28.6,1.8,0.6,0
1720,28.4,1.8,0,0.6
1740,29,1.8,0,0.2
1760,29.2,1.8,0,0
1780,29.4,1.8,0,0.4
1800,30,1.8,0.4,0.6
1820,30.4,1.8,0.2,0.4
1840,30.6,1.8,0.6,0.4
1860,30.8,1.8,0.2,0.2
1880,32,1.8,0.2,0.2
1900,31.4,1.8,0,0
1920,32,1.8,0,0.4
1940,33.2,1.8,0,0.2
1960,34.2,1.8,0,0
1980,34.8,1.8,0.2,0.4
2000,34.4,1.8,0,0
