Time,B,M,N,ND
0,10,2,0,0
20,9.2,2,0.6,0.8
40,5.2,2,4.4,1.8
60,1.6,2,8.8,5
80,0.6,2.4,9.6,7.4
100,0.2,2.4,6.8,7.4
120,0,2.4,5.4,5.6
140,0,2.4,3.8,4.8
160,0,2.2,2.8,3.4
180,0,2.2,1.6,3.6
200,0,2.2,1,2
220,0,2.2,0.8,1.2
240,0,2.2,0.6,0.6
260,0,2.2,0.4,0.2
280,0,2.2,0.4,0.2
300,0,2.2,0.2,0
320,0,2.2,0.2,0
340,0,2.2,0.2,0
360,0,2.2,0.2,0
380,0,2.2,0,0.2
400,0,2,0,0
420,0,2,0,0
440,0,2,0,0
460,0,2,0,0
480,0,2,0,0
500,0,2,0,0
520,0,2,0,0
540,0,1.8,0,0
560,0,1.8,0,0
580,0,1.8,0,0
600,0,1.8,0,0
620,0,1.8,0,0
640,0,1.8,0,0
660,0,1.8,0,0
680,0,1.8,0,0
700,0,1.8,0,0
720,0,1.8,0,0
740,0,1.8,0,0
760,0,1.8,0,0
780,0,1.8,0,0
800,0,1.8,0,0
820,0,1.8,0,0
840,0,1.8,0,0
860,0,1.8,0,0
880,0,1.8,0,0
900,0,1.8,0,0
920,0,1.8,0,0
940,0,1.8,0,0
960,0,1.8,0,0
980,0,1.8,0,0
1000,0,1.8,0,0
1020,0,1.8,0,0
1040,0,1.8,0,0
1060,0,1.8,0,0
1080,0,1.8,0,0
1100,0,1.6,0,0
1120,0,1.6,0,0
1140,0,1.4,0,0
1160,0,1.2,0,0
1180,0,1.2,0,0
1200,0,1.2,0,0
1220,0,1.2,0,0
1240,0,1,0,0
1260,0,1,0,0
1280,0,1,0,0
1300,0,1,0,0
1320,0,1,0,0
1340,0,1,0,0
1360,0,1,
