Time,B,M,N,ND
0,10,2,0,0
20,11,2,2,0
40,6.6,2.2,4,1.6
60,3.6,2.2,4.6,4
80,1.6,2.2,10.4,5.2
100,1.6,2,6.6,6.4
120,1,1.8,7.4,6.6
140,0.8,1.8,6,8.8
160,0.6,2,3.6,9.2
180,1.2,2.2,2.2,6.2
200,1.2,2.2,2,5.2
220,1,2.2,0.8,4
240,0.8,2.2,2,3
260,1.2,2.2,1.4,3.4
280,1.4,2.2,1,3
300,1.8,2.2,0.6,2.6
320,2.6,2.2,0.2,2.8
340,3,2.2,0.8,2.4
360,3,2.2,1,2.8
380,2.6,2.2,1.2,3.4
400,2.8,2.6,0.6,1.8
420,2.6,2.8,0.4,1.6
440,3,2.8,0.4,0.2
460,2.8,2.8,0.2,1
480,2.4,2.8,0.4,0.8
500,2.2,2.6,0,0.8
520,2.4,2.6,0.6,0.2
540,2,2.8,0.8,0.6
560,1.6,2.8,1,1.6
580,1.4,2.6,0.8,1.2
600,1.6,2.8,0.6,1
620,1.8,2.8,0.8,0.4
640,2.2,3,0.6,0.6
660,2.8,3.2,0.8,0.6
680,2.6,3.2,1,0.4
700,2.6,3.2,0.8,1.2
720,2.8,3.2,1,0
740,2.8,3.4,1.6,0.4
760,2.2,3.4,0.6,0.6
780,1.8,3.4,1.8,0
800,1.8,3.4,1.6,0.6
820,1.6,3.4,1.2,0.6
840,1.8,3.6,1.4,0.6
860,1,3.6,0.8,0.2
880,1.2,3.6,1.2,0
900,0.4,3.6,1.6,0.4
920,0.4,3.6,1.4,0.8
940,0.8,3.6,0.8,0.2
960,0.2,3.6,0.2,0.2
980,0,3.6,1,0.2
1000,0,3.6,1,0
1020,0,3.6,0.8,0.2
1040,0,3.6,0.4,0.2
1060,0,3.6,0.4,0
1080,0,3.6,0.4,0
1100
