Time,B,M,N,ND
0,10,2,0,0
20,9.6,2,2.8,1
40,5.4,2,5.8,1.8
60,1.8,2,7.6,2.4
80,2,1.8,7,1.6
100,1.2,2.4,4.4,2.6
120,0.8,2.4,4,2.2
140,1.2,2.2,3.8,1
160,0.8,2.2,3.8,1
180,0.6,2.2,3.8,0.8
200,0.8,2.2,2.6,1.6
220,0.4,2.2,1.2,1.2
240,0.6,2.2,0.6,0.6
260,0.8,2.2,0.6,1.2
280,1,2.2,0.8,1
300,0.8,2.2,0.6,0.4
320,1,2.2,0.4,1.2
340,1.4,2.2,0.4,0.6
360,2.2,2.2,0.2,1
380,2.6,2.2,0.8,1.2
400,2.8,2.2,0,1.4
420,3,2.2,0,1
440,3.2,2.4,0.8,0.8
460,3.4,2.4,0.6,0.8
480,3.4,2.6,0.8,0
500,3.2,2.6,0.8,0.2
520,3,2.6,0.4,0.2
540,3.2,2.6,0.6,1.2
560,3.4,2.6,0.6,0.2
580,3.4,2.6,0.2,0.2
600,3.6,2.6,0.4,0.2
620,3,2.6,1.2,0.2
640,3.2,2.6,1.8,0.6
660,3.2,2.6,1.2,0.4
680,3.2,2.6,0.4,0
700,3.8,2.6,0,0.2
720,4,2.6,0,0
740,3.6,2.6,0.4,0
760,3.6,2.8,0.6,0
780,3.4,3,0.6,0
800,3.4,3,0,0
820,3,3.2,1.6,0.4
840,3,3.6,0,0.2
860,3,3.4,1.8,0.2
880,2.4,3.4,2.4,0
900,1.8,3.4,1.4,0.2
920,2,3.4,0.6,0.4
940,2.2,3.4,1.2,0
960,2.2,3.6,1.2,0
980,2.2,3.6,0.4,0
1000,1.4,3.6,1.8,0.4
1020,1.2,3.8,2.2,0.2
1040,0.6,3.6,2,0
1060,0.4,3.6,1.4,0.2
1080,0.8,3.6,0.4,0
1100,0
